Epoch: 68, Train Loss: 0.02751926886525554, Valid Loss: 0.02755382626076872
Epoch: 69, Train Loss: 0.027441733096664343, Valid Loss: 0.027242477289419757
Epoch: 70, Train Loss: 0.02729190255043243, Valid Loss: 0.027242477289419757
Epoch: 71, Train Loss: 0.027286872414340576, Valid Loss: 0.027242477289419757
Epoch: 72, Train Loss: 0.027151784743906792, Valid Loss: 0.027178904326068676
Epoch: 73, Train Loss: 0.027080530970772457, Valid Loss: 0.027178904326068676
Epoch: 74, Train Loss: 0.02700348360295264, Valid Loss: 0.027178904326068676
Epoch: 75, Train Loss: 0.02689558872467448, Valid Loss: 0.02686277891047899
Epoch: 76, Train Loss: 0.0268907411099241, Valid Loss: 0.02686277891047899
Epoch: 77, Train Loss: 0.026770424955160993, Valid Loss: 0.02686277891047899
